StopID,x,y,Bench,Shelter,routes,Direction,Pole_Locat,Sidewalk,Trans_P
37180,1486422.026589676737785,503439.472644671797752, , ,"27, 51",outbound,forward facing back of curb,sidewalk, 
06400,1461406.146503418684006,537791.471525833010674, , ,17,inbound,forward facing back of curb,sidewalk, 
30640,1451661.914023429155350,554793.452613666653633,Bench, ,"21, 3",inbound,forward facing back of sidewalk,sidewalk, 
02780,1445799.048452585935593,562980.675740510225296, , ,7,outbound,forward facing back of sidewalk,sidewalk, 
12430,1421508.113438755273819,547776.416450917720795, , ,8,inbound,forward facing back of curb, , 
21640,1456841.193363010883331,542467.417226418852806, , ,4,inbound,forward facing back of curb,sidewalk, 
44045,1449239.080942586064339,543128.595366001129150, , ,"1, 22, 26, 34, 7, 8",inbound,forward facing back of curb,sidewalk,transfer point
24470,1441273.012229084968567,535319.362624928355217, ,Shelter,2,inbound,forward facing back of sidewalk,sidewalk, 
25440,1451565.594006091356277,536304.011574253439903, , ,6,outbound,forward facing back of curb,sidewalk, 
27670,1469161.148381844162941,525792.422033175826073,Bench, ,28,inbound,forward facing back of sidewalk,sidewalk, 
45343,1461297.146393343806267,545534.378284081816673, , ,4,outbound,forward facing back of sidewalk,sidewalk, 
45715,1455582.280198425054550,552662.326954677700996, , ,3,inbound,forward facing back of curb,sidewalk, 
12275,1432367.590079337358475,555629.676991090178490, , ,2,inbound,forward facing edge of pavement, , 
25210,1434321.215765252709389,560671.395254090428352, , ,1,outbound,forward facing edge of pavement, ,transfer point
37176,1486072.641461670398712,502917.001576751470566, , ,"27, 51",inbound,forward facing back of curb,sidewalk, 
42605,1445667.103834584355354,578410.395209088921547, , ,7,inbound,forward facing back of sidewalk,sidewalk, 
41431,1444457.807040587067604,606021.249108001589775, , ,98,outbound,forward facing back of curb,sidewalk, 
31930,1480906.116361677646637,552831.395842254161835, , ,23,outbound,forward facing back of curb,sidewalk, 
01180,1434969.094062671065331,549906.448280096054077, , ,8,inbound,forward facing back of sidewalk,sidewalk, 
25190,1435547.064691513776779,559959.660785168409348, , ,1,outbound,forward facing edge of pavement, ,transfer point
02280,1432501.200704500079155,558349.577719256281853, , ,18,inbound,forward facing back of curb, , 
14090,1491131.268483504652977,528962.466546088457108, , ,40x,inbound,forward facing back of sidewalk,sidewalk, 
44005,1442959.116468429565430,560638.382852926850319, , ,18,inbound,forward facing back of sidewalk,sidewalk, 
13095,1482208.151487261056900,516341.350712254643440, , ,17,inbound,forward facing back of curb, , 
35000,1420160.295268252491951,507668.963857591152191, , ,55,outbound,forward facing back of sidewalk,sidewalk, 
11410,1463663.192842334508896,537320.662756174802780,Bench, ,17,outbound,forward facing back of curb,sidewalk, 
05470,1470796.010269597172737,537637.651623502373695, ,Shelter,"17, 9",inbound,forward facing back of sidewalk,sidewalk, 
46169,1424398.158511668443680,514361.390761420130730,Bench, ,16,inbound,forward facing back of curb,sidewalk, 
49603,1474114.251992672681808,565765.959540009498596, , ,"50, 54", , , , 
16350,1475696.014577180147171,519620.325781583786011, , ,27,outbound,forward facing back of sidewalk,sidewalk, 
28915,1450211.424470335245132,508911.553892090916634, , ,20,inbound,forward facing back of curb,sidewalk, 
46490,1446334.117264345288277,583511.598261252045631, , ,7,outbound,forward facing back of curb,sidewalk, 
52720,1431202.947723597288132,539776.694589510560036, , ,235,outbound,forward facing back of sidewalk,sidewalk, 
22270,1454358.114667758345604,530985.694455012679100,Bench, ,14,inbound,forward facing back of curb,sidewalk, 
02510,1446006.102828502655029,552758.650252833962440,Bench, ,7,outbound,forward facing back of curb,sidewalk, 
09100,1470098.108450174331665,543598.650856345891953, , ,39,inbound,forward facing back of curb,sidewalk, 
18330,1453239.222876667976379,545876.682717591524124, , ,"11, 21",inbound,forward facing back of sidewalk,sidewalk,transfer point
46341,1485723.008958846330643,558544.494652256369591, , ,29,inbound,forward facing edge of pavement,sidewalk, 
02440,1445717.158852592110634,550592.370136588811874, ,Shelter,7,inbound,forward facing back of sidewalk,sidewalk, 
49335,1479237.498307839035988,520422.435725927352905, , ,17,inbound,forward facing back of curb,sidewalk, 
45913,1485728.615903005003929,558609.553249165415764, , ,29,outbound,forward facing edge of pavement, , 
06890,1457359.838979259133339,562072.096520915627480, , ,13,outbound,forward facing back of sidewalk,sidewalk, 
26170,1437600.226595669984818,529060.514578342437744, , ,"12, 16",inbound,forward facing back of curb,sidewalk, 
49855,1453433.827146261930466,597488.158890753984451, , ,99,outbound,forward facing back of curb,sidewalk, 
45911,1450972.979049593210220,549628.548901498317719, ,Shelter,26,inbound,forward facing back of sidewalk,sidewalk, 
45220,1485193.072026595473289,540767.517082914710045, , ,222,outbound,rear facing back of curb,sidewalk, 
24600,1446379.124720260500908,559553.580232501029968, ,Shelter,"18, 26, 7",not applicable,forward facing back of curb,sidewalk,transfer point
19240,1433240.243845835328102,518967.668294250965118, , ,24,outbound,forward facing back of curb,sidewalk, 
60372,1444924.692261680960655,629942.645162761211395, , ,99, , , , 
10400,1447717.007215097546577,515612.585765585303307, , ,19,not applicable,forward facing back of sidewalk,sidewalk, 
39870,1433432.982633590698242,561583.482012584805489, , ,1,inbound,forward facing edge of pavement, ,transfer point
29870,1439262.189479097723961,518399.672711089253426, , ,12,outbound,forward facing back of sidewalk,sidewalk, 
07320,1460625.544062003493309,533717.898308172821999, , ,39,inbound,forward facing back of sidewalk,sidewalk, 
00200,1460864.170225173234940,561618.617112919688225, , ,22,inbound,forward facing back of curb, , 
28030,1477449.025178760290146,540759.606337592005730, , ,"222, 29",inbound,forward facing back of sidewalk,sidewalk, 
21110,1446045.057803094387054,509998.420812845230103, , ,19,outbound,forward facing back of sidewalk,sidewalk, 
15960,1466763.209608167409897,530413.487594172358513, , ,27,outbound,forward facing back of sidewalk,sidewalk, 
46495,1429480.437061011791229,563004.747870832681656, , ,1,inbound,forward facing back of sidewalk,sidewalk, 
17980,1459104.261343419551849,558953.398362010717392, , ,"13, 22",outbound,forward facing back of sidewalk,sidewalk, 
04980,1454014.976574510335922,540177.688866257667542, ,Shelter,"17, 9",outbound,forward facing back of sidewalk,sidewalk,transfer point
46072,1436873.759544670581818,499320.067169591784477,Bench, ,58,not applicable,rear facing back of curb,sidewalk,transfer point
06530,1477029.000756338238716,553245.376641586422920, , ,29,inbound,forward facing edge of pavement, , 
27650,1468228.195851430296898,524678.549589008092880, , ,28,inbound,forward facing back of sidewalk,sidewalk, 
09270,1469625.260314509272575,542343.653366342186928, , ,39,not applicable,forward facing back of curb,sidewalk,transfer point
11070,1434519.031970679759979,549841.503200009465218, , ,2,inbound,forward facing back of sidewalk,sidewalk, 
46402,1421869.671442672610283,561512.056958585977554, , ,"18, 34",inbound,forward facing edge of pavement, , 
49361,1502340.500986263155937,546123.169101253151894, , ,46x,inbound,forward facing back of curb,sidewalk, 
29780,1439408.141943097114563,522610.653462335467339, , ,12,outbound,forward facing back of sidewalk,sidewalk, 
60120,1485728.990246087312698,573360.435164675116539, , ,29, , , , 
45372,1485484.550774335861206,541143.563903003931046, , ,222,inbound,forward facing back of curb,sidewalk,transfer point
18910,1473097.847857505083084,561929.200153172016144, , ,11,inbound,forward facing back of curb,sidewalk, 
25180,1435716.093224838376045,559759.509610667824745, , ,1,inbound,forward facing edge of pavement, ,transfer point
13150,1431871.194090500473976,555277.362078920006752,Bench, ,2,inbound,forward facing edge of pavement, , 
07980,1455894.066976428031921,538350.410368591547012,Bench, ,27,outbound,forward facing back of sidewalk,sidewalk, 
31370,1462524.242036253213882,546255.398495584726334, , ,4,outbound,forward facing back of sidewalk,sidewalk, 
22520,1459298.923355668783188,522503.464044168591499,Bench, ,14,inbound,forward facing back of curb,sidewalk,transfer point
20680,1446408.068888083100319,527506.459615588188171, , ,19,outbound,forward facing back of curb, , 
60171,1481639.141470417380333,579058.564516425132751, , ,"47x, 59", , , , 
38200,1463139.153864175081253,522215.669672250747681, , ,62x,outbound,forward facing back of sidewalk,sidewalk, 
05820,1436761.135098010301590,532679.398416668176651, , ,30,inbound,rear facing back of curb,sidewalk, 
45756,1434081.467229008674622,520724.324557840824127, , ,24,outbound,forward facing back of curb, , 
46331,1445559.590270087122917,482551.187649667263031, ,Shelter,43,inbound,forward facing back of curb,sidewalk, 
21400,1441203.996947169303894,490217.520086005330086, , ,"19, 51, 58",outbound,forward facing back of sidewalk,sidewalk, 
31140,1446464.102240592241287,571429.347163334488869, , ,7,outbound,forward facing back of curb,sidewalk, 
31860,1478521.031564921140671,551061.634617999196053, , ,23,outbound,forward facing back of sidewalk,sidewalk,transfer point
14060,1488604.446437418460846,530568.210381835699081, , ,40x,outbound,forward facing edge of pavement, , 
06470,1464964.005857512354851,535556.494040429592133, , ,17,outbound,forward facing back of sidewalk,sidewalk, 
25480,1451574.815116256475449,534137.641563177108765, , ,6,outbound,forward facing back of curb,sidewalk, 
40753,1446527.133938670158386,612548.663218498229980, , ,"48x, 97, 99",not applicable,rear facing edge of pavement, , 
00790,1428183.707699090242386,511438.369704589247704, , ,56,inbound,forward facing back of curb, , 
45215,1485543.736351504921913,538237.458494752645493, , ,3,inbound,forward facing back of sidewalk,sidewalk, 
01330,1433919.234613835811615,545423.657048836350441, , ,"2, 235, 30",outbound,forward facing back of curb, ,transfer point
18760,1467369.026638001203537,553625.663282588124275, , ,11,outbound,forward facing back of sidewalk,sidewalk, 
34560,1431246.070340752601624,537119.677593842148781, , ,10,inbound,forward facing back of sidewalk,sidewalk,transfer point
18150,1450884.219712674617767,543741.636462748050690, ,Shelter,"11, 21",outbound,rear facing back of curb,sidewalk, 
23600,1455585.092856839299202,535970.391506582498550,Bench, ,15,inbound,forward facing back of curb,sidewalk, 
41295,1451412.571346253156662,607264.880150929093361, , ,99,outbound,forward facing edge of pavement, , 
27560,1461608.138225421309471,523361.633915752172470, , ,28,outbound,forward facing back of curb,sidewalk, 
49437,1452114.488249510526657,490441.169573083519936, , ,51,outbound,forward facing edge of pavement, , 
46335,1438066.345742180943489,509554.025376170873642, , ,"24, 56",inbound,forward facing back of curb,sidewalk, 
38610,1433772.491469010710716,507492.017689168453217, ,Shelter,56,outbound,forward facing back of curb,sidewalk, 
16650,1470507.150939166545868,559498.699764832854271, , ,211,inbound,forward facing edge of pavement,sidewalk, 
17210,1451839.995360180735588,541788.518977925181389, , ,"17, 23",inbound,forward facing back of curb,sidewalk,transfer point
29740,1439511.129598006606102,524770.544483751058578, , ,12,inbound,forward facing back of sidewalk,sidewalk, 
45804,1452588.492878928780556,574066.699500173330307, , ,21,outbound,forward facing back of curb,sidewalk, 
33250,1446582.265718176960945,544869.630269750952721, , ,"34, 8, 85x",outbound,forward facing back of curb,sidewalk, 
25720,1448554.078375592827797,541869.488304167985916, ,Shelter,16,outbound,rear facing back of curb,sidewalk,transfer point
23610,1455627.235161006450653,535857.503937095403671,Bench, ,"15, 62x",outbound,forward facing back of curb,sidewalk, 
22860,1467305.033983841538429,507947.490203425288200, , ,14,outbound,forward facing back of sidewalk,sidewalk, 
31660,1472542.993324175477028,550326.594093337655067, , ,3,outbound,forward facing back of sidewalk,sidewalk, 
45760,1423198.227840676903725,514262.752179175615311, , ,56,outbound,forward facing back of curb,sidewalk,transfer point
31900,1479810.207792341709137,552057.453820586204529, , ,23,inbound,rear facing back of curb,sidewalk, 
45160,1484478.106593012809753,533867.599452331662178,Bench, ,"3, 9",outbound,forward facing back of curb,sidewalk, 
28190,1439252.243960916996002,506656.680777177214622, , ,12,outbound,forward facing back of curb, , 
45440,1464064.028982922434807,514677.597150012850761, , ,14,outbound,rear facing back of curb, , 
30070,1439250.209516167640686,507672.656435504555702, , ,12,inbound,forward facing back of curb,sidewalk, 
22200,1454679.190797254443169,532749.215206176042557, , ,14,outbound,forward facing back of sidewalk,sidewalk, 
60363,1463529.837794095277786,581292.619759589433670, , ,21, , , , 
60190,1476729.147681504487991,581716.663859009742737, , ,59, , , , 
59591,1447547.378945425152779,544331.820977926254272, , ,"34, 40x, 46x, 52x, 64x, 74x, 82x, 85x", , , , 
16380,1476512.987024590373039,518048.349594831466675, , ,27,outbound,forward facing back of sidewalk,sidewalk, 
45346,1465517.360393837094307,573113.395304426550865, , ,22,inbound,forward facing edge of pavement, , 
04410,1444407.310750514268875,565292.382075086236000, , ,13,outbound,forward facing edge of pavement, , 
25641,1449496.671634763479233,542588.718821093440056, ,Shelter,"11, 21",outbound,rear facing back of curb,sidewalk,transfer point
33270,1445974.148496091365814,544915.572763174772263,Bench, ,"34, 8",inbound,forward facing back of curb,sidewalk,transfer point
42340,1469854.374029502272606,528962.844498082995415,Bench, ,27,outbound,forward facing back of sidewalk,sidewalk, 
44020,1451838.506518006324768,544534.252659678459167, , ,"11, 21",outbound,forward facing back of curb,sidewalk,transfer point
37760,1456496.033948346972466,488426.356017425656319, , ,62x,outbound,forward facing back of curb,sidewalk, 
45833,1425346.640866667032242,557001.948852837085724, , ,"18, 34",inbound,forward facing back of sidewalk,sidewalk, 
12050,1436304.407665014266968,555990.600153759121895, , ,18,inbound,forward facing back of curb, , 
10420,1449437.854495167732239,515260.641587585210800, , ,19,not applicable,forward facing back of sidewalk,sidewalk,transfer point
60010,1451639.072861760854721,545006.419038176536560, , ,"11, 21", , , , 
23280,1453920.567642584443092,530736.762210085988045, , ,20,outbound,forward facing back of curb,sidewalk, 
13300,1444088.094525426626205,494545.600340589880943, , ,43,outbound,forward facing back of sidewalk,sidewalk, 
13060,1479375.060368672013283,519898.412167668342590, , ,17,outbound,forward facing back of curb,sidewalk, 
14640,1484215.015911847352982,575342.570964172482491, , ,29,not applicable,rear facing back of sidewalk,sidewalk, 
16990,1447468.260993421077728,552021.529679834842682, , ,26,outbound,forward facing back of sidewalk,sidewalk, 
40006,1426610.724624589085579,536071.431986927986145, , ,235,inbound, ,sidewalk, 
44030,1442289.155866086483002,538863.507767587900162, , ,10,outbound,forward facing back of sidewalk,sidewalk,transfer point
34160,1439779.254717931151390,539274.479714676737785, , ,10,outbound,forward facing back of sidewalk,sidewalk, 
40160,1468299.051352754235268,574407.599080845713615, , ,22,outbound,forward facing edge of pavement, , 
46263,1442736.002085253596306,514002.550927922129631, , ,57,outbound,forward facing edge of pavement,sidewalk, 
30951,1464310.237151920795441,553281.492711082100868, , ,"13, 211", , , , 
46436,1487753.818217426538467,508466.508194252848625, , ,17,inbound,forward facing edge of pavement, , 
35250,1431140.269043177366257,542254.267718344926834, ,Shelter,"35, 5",not applicable,forward facing back of curb,sidewalk,transfer point
11340,1449827.023992419242859,545147.383323177695274, , ,"22, 26",inbound,forward facing back of sidewalk,sidewalk,transfer point
31850,1478020.028301835060120,550656.584575086832047, , ,23,outbound,forward facing back of sidewalk,sidewalk, 
29890,1439233.150167092680931,517606.687748506665230, , ,12,outbound,forward facing back of sidewalk,sidewalk, 
46152,1425448.982197418808937,517598.540127009153366, , ,16,outbound,forward facing back of curb,sidewalk, 
07821,1451206.208898097276688,535013.343880012631416, , ,20, , , , 
46343,1419114.532596006989479,507929.298310667276382, , ,55,outbound,forward facing edge of pavement, , 
29940,1439164.233966335654259,515447.615295007824898, , ,12,outbound,forward facing back of sidewalk,sidewalk, 
32160,1474388.143833339214325,545163.549629420042038, , ,23,outbound,forward facing edge of pavement, ,transfer point
45837,1427060.081993594765663,557900.642265424132347, , ,"18, 34",inbound,forward facing back of sidewalk,sidewalk, 
45909,1485016.912602007389069,540221.301968008279800, ,Shelter,3,inbound,forward facing back of sidewalk,sidewalk, 
44484,1440007.165351346135139,547004.290698587894440, , ,8, , , , 
49090,1447509.017801672220230,488896.511573165655136, , ,43,outbound,forward facing back of curb,sidewalk, 
60359,1454924.040701255202293,577190.518383756279945, , ,21, , , , 
30650,1451599.010277837514877,556169.480373427271843, , ,21,inbound,forward facing back of curb,sidewalk, 
45602,1417863.128274679183960,577058.444500923156738, , ,1,inbound,forward facing back of curb,sidewalk, 
29130,1460182.162074759602547,532355.493224591016769, , ,39,inbound,forward facing back of curb, , 
30180,1437075.403498336672783,500410.075160175561905, , ,12,outbound,forward facing back of curb,sidewalk, 
41268,1444027.091366589069366,624226.479101672768593, , ,99,outbound,forward facing back of curb,sidewalk, 
46382,1437450.652091667056084,503700.841544508934021, , ,12,outbound,forward facing back of curb, , 
17740,1453055.129740923643112,549041.485115006566048, , ,22,inbound,forward facing back of curb,sidewalk, 
10120,1449376.915968760848045,555623.547082081437111, , ,26,outbound,rear facing edge of pavement, , 
45374,1462648.231617674231529,564250.374644666910172, , ,22,inbound,forward facing back of curb, , 
24280,1459299.065087676048279,497667.699739426374435, , ,62x,inbound,forward facing back of curb,sidewalk, 
46580,1442339.772890836000443,617314.497846916317940, , ,97,outbound,forward facing back of curb,sidewalk, 
04990,1455122.208940088748932,540449.612863093614578, , ,"17, 9",outbound,forward facing back of sidewalk,sidewalk,transfer point
60210,1474369.240327835083008,584779.389688923954964, , ,54, , , , 
30430,1451749.144492000341415,549422.346558004617691,Bench, ,21,inbound,forward facing back of curb,sidewalk, 
40000,1426350.358347430825233,536604.285908088088036, , ,10,not applicable,forward facing back of curb,sidewalk, 
45052,1450116.294083178043365,541727.259586006402969, , ,34,outbound, ,sidewalk,transfer point
46336,1438107.535948500037193,509581.637853756546974,Bench, ,"24, 56",not applicable,forward facing back of curb,sidewalk, 
46116,1434910.164718583226204,525091.545154094696045,Bench, ,24,outbound,forward facing back of sidewalk,sidewalk,transfer point
49913,1473803.001959010958672,576715.729635179042816, , ,54, , , , 
20930,1447555.185360252857208,517309.673906832933426, , ,19,not applicable,forward facing back of curb,sidewalk, 
25910,1443969.025865927338600,538058.433918416500092,Bench, ,16,outbound,forward facing back of sidewalk,sidewalk,transfer point
45471,1469979.234672173857689,574281.375908091664314, , ,54, , , , 
29810,1439362.144659757614136,521141.663946256041527, , ,12,outbound,forward facing back of sidewalk,sidewalk, 
22780,1466236.066633597016335,511358.440730586647987, , ,14,outbound,forward facing back of sidewalk,sidewalk, 
09070,1469936.132724255323410,545513.657196924090385, ,Shelter,39,inbound,rear facing back of curb,sidewalk, 
13630,1449089.197712168097496,556013.653913423418999, , ,26,outbound,forward facing edge of pavement, , 
41460,1467704.013500839471817,536314.530910179018974,Bench, ,"17, 39",not applicable,forward facing back of curb,sidewalk,transfer point
45979,1466098.045912250876427,556327.622773677110672, , ,211,inbound,forward facing edge of pavement,sidewalk, 
00590,1464600.077779591083527,548319.589577168226242, , ,23,inbound,forward facing edge of pavement, , 
05170,1458727.574760839343071,540024.286614000797272, , ,"17, 9",outbound,forward facing back of curb,sidewalk,transfer point
37270,1434038.114625424146652,547097.660918667912483, , ,34,outbound,forward facing back of curb,sidewalk, 
02770,1445933.030796170234680,562356.437159582972527, ,Shelter,7,inbound,forward facing back of sidewalk,sidewalk,transfer point
36890,1444466.364766255021095,619244.921479508280754, , ,"48x, 99",not applicable,forward facing back of curb,sidewalk,transfer point
02380,1445177.379092261195183,548524.340808093547821, ,Shelter,7,outbound,forward facing back of sidewalk,sidewalk,transfer point
60670,1445160.185885176062584,607809.966987252235413, , ,63x, , , , 
34760,1427532.076456427574158,536116.600859835743904, , ,10,outbound,forward facing back of sidewalk,sidewalk,transfer point
45413,1428833.310730591416359,543270.909713923931122, ,Shelter,"35, 5",outbound,forward facing back of curb,sidewalk, 
46040,1438994.742835506796837,509328.975301340222359, ,Shelter,56,not applicable,rear facing back of curb,sidewalk,transfer point
17920,1457795.971637174487114,556496.598485589027405, , ,22,inbound,rear facing back of curb, , 
52512,1432052.225224509835243,562383.091633841395378,Bench, ,1,inbound, , , 
40687,1437599.754483759403229,627875.854020759463310, , ,97,inbound,forward facing edge of pavement,sidewalk, 
21355,1440759.148427426815033,493383.251943498849869, , ,19,outbound,forward facing back of curb, , 
33530,1462159.149590596556664,549044.480843916535378, , ,"23, 3",inbound,forward facing back of sidewalk,sidewalk,transfer point
07520,1454721.993861258029938,536960.695956423878670,Bench, ,"15, 62x",inbound,forward facing back of curb,sidewalk,transfer point
46166,1417428.090758919715881,504937.437824591994286,Bench, ,16,inbound,forward facing back of sidewalk,sidewalk, 
20940,1447455.125192925333977,518277.240869343280792, , ,19,outbound,rear facing back of sidewalk,sidewalk,transfer point
32190,1474691.207859754562378,546069.639024585485458, , ,23,inbound,forward facing back of sidewalk,sidewalk,transfer point
45779,1416103.492030173540115,516243.793492674827576, , ,56, , , , 
05910,1434620.844759181141853,534149.598232164978981, , ,30,not applicable,forward facing edge of pavement, , 
45420,1446655.173380762338638,539895.552619501948357, , ,16,inbound,forward facing back of curb,sidewalk, 
12320,1434070.413445338606834,555949.102861419320107, , ,"18, 2",inbound,forward facing edge of pavement,sidewalk, 
46710,1469554.808355674147606,587905.864735171198845, , ,59,outbound,forward facing back of curb,sidewalk, 
46393,1468121.052693009376526,559907.635954841971397, , ,211,inbound,forward facing edge of pavement, , 
46703,1472396.193420916795731,584254.646643921732903, , ,59,outbound,forward facing back of curb,sidewalk, 
40682,1442080.135286763310432,621364.432660415768623, , ,48x,outbound,forward facing back of curb, , 
45039,1450175.318243339657784,541672.655692592263222, , ,11,outbound, ,sidewalk,transfer point
46202,1411202.585165336728096,516651.887820839881897, , ,55,outbound,forward facing edge of pavement, , 
31040,1464470.235191509127617,557887.650165423750877, , ,211,outbound,forward facing back of sidewalk,sidewalk, 
33060,1480850.407155513763428,567741.602242261171341,Bench, ,29,inbound,rear facing edge of pavement,sidewalk, 
35170,1437281.221984341740608,541786.505858585238457, ,Shelter,"35, 5",inbound,forward facing back of sidewalk,sidewalk, 
